feature,num_unique_values,unique_values,value_counts,total_values_count
image_gen_prompt,1096,"[""Title: The Eyes of Room 211 Artistic Style: Expressionistic Setting: Old Dormitory, Room 211, 1970's Lighting: Darkness with two bright points of light Time of Day: Night Supernatural Elements: Two bright points of light shaped like eyes that defy explanation, doors opening and shutting on their own, rocking chair moving on its own and shattering a mirror. Description: Enter Room 21"", '""A Night at Kappa Delta Sorority""', '""The Forgotten Motel""', '""Ghostly Whispers and the Pink Room""', '""The Ghostly Encounter at Point Iroquois Lighthouse""', '""The abandoned mansion on the hill, its gothic architecture looming ominously over the town, has long been the subject of eerie tales and ghost stories. As the sun sets and the shadows lengthen, the once grand mansion is bathed in an eerie, blood-red twilight, the colors of the dying day casting an unsettling glow over the desolate grounds. The air is thick with an oppressive silence, the only sound being', 'A dark and eerie forest, with the light of the full moon shining through the trees, casting long shadows on the ground. The trees are old and twisted, and the forest is filled with the sounds of howling wolves and the rustling of leaves. As you walk deeper into the forest, you begin to feel a sense of dread, and the air grows colder. Suddenly, a ghostly figure appears in front of you, dressed in old-fashioned clothing, holding a', '""The Haunting of Berwyn Senior Center""', 'Title: ""Echoes in the Hallway""', 'In the dimly lit basement of the Majestic, the shadows seem to come alive with the ghost of Harry Hudini. As the clock strikes midnight, the old mezzanine is revealed from beneath the large drape, revealing the sounds of a packed audience cheering and screaming. The artistic style of the scene is inspired by the gothic horror genre, with dramatic lighting casting eerie shadows across the walls and floor. The colors are muted and dark, with shades of blue', ""In the eerie glow of the moonlight, a once majestic building stands abandoned, its windows shattered and doors creaking in the wind. The ghosts of the Marion Hall nuns still linger, their haunting presence felt in the icy chill that runs down your spine as you explore the dilapidated halls. As you wander through the dark corridors, you can't shake the feeling that you're being watched, as if the spirits are"", 'In the dimly lit corridors of Williams Hall, the old stone walls seem to breathe with age. The clock tower casts eerie shadows, the hour hand frozen at 12. The old cafeteria, now abandoned, has a life of its own, as ghostly dancers twirl in a never-ending waltz. As you pass by, you feel the weight of history and the whispers of the past. The artistic style is inspired by early 20', '""As the sun begins to set on the horizon, casting a warm orange glow across the fields, an old abandoned railroad track comes into view. The once bustling train tracks now stand empty and forgotten, a relic of a time long past. Yet, as the darkness descends, whispers of the phantom train can be heard echoing through the night. The sound of the steam engine, the clacking of the train cars, and the distant whistle all combine to create', '""The Abandoned Estate""', '""In the eerie silence of midnight, the abandoned asylum comes to life with the voices and sounds of people talking throughout the night. The lighting is dim and flickering, casting shadows on the walls and floors. The old wooden floors creak as you walk down the long, winding hallway, while the wind howls outside. You can hear the distant sound of footsteps echoing in the distance. As you reach the end of the hallway, you see a door that seems to', 'The Haunted Abandoned Asylum', '""Midnight Hitchhiker on Pine Mountain Road""', '""Midnight on Verna Drive: A Haunting in Lambertville""', '""The Old Fort at Twilight""', '""Ghost of Lesalles Griffon: The Straits of Mackinac""']","{'""The Abandoned Asylum""': 5, '""The Abandoned Mansion""': 5, 'Title: Echoes of the Past': 4, '""Ghostly Whispers""': 4, '""Midnight at the Abandoned Mansion""': 4, '""The Haunted Bridge""': 3, '""Midnight Melody""': 3, '""The Abandoned School of Whispers""': 3, '""The Abandoned Mansion at Midnight""': 3, '""The Forgotten Schoolhouse""': 2}",1139
image_gen_prompt_rex,3477,"['A misty night at cemetery, field, woods, road, park. There is a spectral presence resembling a witch searching through the area. The mood is tragic and lost. A past event of murder haunts the location.', 'A clear night at cemetery, house, school. There is an eerie apparition of a child hovering silently. The mood is mysterious and still. A past event of murder haunts the location.', 'A clear night at road, bridge, house. There is a spectral presence resembling a spirit standing quietly. The mood is eerie and quiet. A past event of fire and destruction haunts the location.', 'A clear night at school. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of murder haunts the location.', 'A clear night at a mysterious location. There is a spectral presence resembling a entity standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.', 'A clear night at cemetery. There is an eerie apparition of a woman standing quietly. The mood is eerie and quiet. A past event of nan haunts the location.', 'A clear morning at woods, road, bridge. There is a spectral presence resembling a demon screaming in agony. The mood is violent and intense. A past event of violent or tragic deaths haunts the location.', 'A clear night at woods, road, park, bridge. There is a spectral presence resembling a orb searching through the area. The mood is tragic and lost. A past event of unexplained movements and physical manifestations haunts the location.', 'A clear night at a mysterious location. There is an eerie apparition of a child standing quietly. The mood is eerie and quiet. A past event of sounds and noises haunts the location.', 'A clear night at a mysterious location. There is a ghostly man with a shadowed face standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.', 'A clear night at field. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of murder haunts the location.', 'A clear night at house. There is a ghostly woman in a flowing white gown screaming in agony. The mood is violent and intense. A past event of ghostly sightings haunts the location.', 'A clear night at a mysterious location. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.', 'A clear night at a mysterious location. There is an eerie apparition of a child hovering silently. The mood is mysterious and still. A past event of violent or tragic deaths haunts the location.', 'A clear night at cemetery. There is a spectral presence resembling a nun standing quietly. The mood is eerie and quiet. A past event of nan haunts the location.', 'A clear night at a mysterious location. There is a spectral presence resembling a nun standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.', 'A clear night at road, house. There is a spectral presence resembling a demon screaming in agony. The mood is violent and intense. A past event of unexplained movements and physical manifestations haunts the location.', 'A clear night at house. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of violent or tragic deaths haunts the location.', 'A clear night at a mysterious location. There is a spectral presence resembling a presence standing quietly. The mood is eerie and quiet. A past event of mysterious occurrences haunts the location.', 'A clear night at a mysterious location. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of nan haunts the location.']","{'A clear night at a mysterious location. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of nan haunts the location.': 396, 'A clear night at a mysterious location. There is a ghostly woman in a flowing white gown standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.': 194, 'A clear night at a mysterious location. There is a ghostly man with a shadowed face standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.': 186, 'A clear night at a mysterious location. There is a ghostly woman in a flowing white gown standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.': 178, 'A clear night at a mysterious location. There is a ghostly man with a shadowed face standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.': 173, 'A clear night at a mysterious location. There is a vague, ghostly figure standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.': 137, 'A clear night at a mysterious location. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of unexplained movements and physical manifestations haunts the location.': 134, 'A clear night at a mysterious location. There is a spectral presence resembling a spirit standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.': 121, 'A clear night at a mysterious location. There is an undefined ghostly presence standing quietly. The mood is eerie and quiet. A past event of sounds and noises haunts the location.': 107, 'A clear night at a mysterious location. There is a spectral child wandering alone standing quietly. The mood is eerie and quiet. A past event of ghostly sightings haunts the location.': 94}",10992
image_file_name,10992,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","{10975: 1, 10974: 1, 10973: 1, 10972: 1, 10971: 1, 10970: 1, 10969: 1, 10968: 1, 10967: 1, 10966: 1}",10992
all_image_caption,2893,"['a bench sitting in the middle of a park .', 'a red fire hydrant sitting in the middle of a field .', 'a bench sitting in front of a building .', 'a bathroom with a toilet and a sink', 'a large clock tower towering over a city .', 'a parking meter sitting on the side of a road .', 'a man riding a bike down a street .', 'a train traveling over a bridge over a river .', 'a room with a bed and a window', 'a black and white photo of a person holding an umbrella .', 'a row of benches sitting on top of a sandy beach .', 'a woman in a dress is holding an umbrella .', 'a view of a body of water with a bridge in the background .', 'a street with a traffic light on it .', 'a white fire hydrant sitting on the side of a road .', 'a black and white photo of a pair of scissors .', 'an old barn with a barn in the background .', 'a black and white photo of a building with a clock .', 'a person is flying a kite on the beach .', 'a black and white photo of a street light']","{'a red fire hydrant sitting on the side of a road .': 277, 'a red fire hydrant sitting in the middle of a field .': 141, 'a red fire hydrant sitting in the middle of a forest .': 132, 'a train traveling over a bridge over a river .': 104, 'a view of a city street at night .': 100, 'a clock tower in the middle of a city .': 99, 'a man standing on a beach holding a surfboard .': 89, 'a large building with a clock on it .': 87, 'a fire hydrant in the middle of a street .': 85, 'a park bench sitting in the middle of a park .': 81}",10992
caption_confidence,10992,"[0.0008012934700643, 0.0001259871635064, 7.632595740937495e-05, 0.0001117689764451, 0.000639848390106, 0.0013802154878491, 0.0001056275309502, 0.0069267220261705, 8.722125240923091e-05, 0.0012604496909217, 0.0001337741476569, 2.220752782631209e-05, 8.932340953203838e-06, 2.6258302641201543e-05, 0.0005361646951503, 0.0003087672246077, 1.0007886953681696e-05, 6.355656427756055e-05, 0.0009258149070984, 0.0005588865522905]","{3.432225557582566e-06: 1, 0.0002635835188688: 1, 2.522277994031953e-05: 1, 0.0001140731699478: 1, 0.0009362814729099: 1, 0.0005077117534757: 1, 9.959854470521948e-05: 1, 3.665459386346005e-05: 1, 3.207001533646603e-05: 1, 0.0004416094315691: 1}",10992
all_detected_objects,9124,"['park bench, lakeside, lakeshore', 'birdhouse, church, church building, pedestal, plinth, footstall, mailbox, letter box, brass, memorial tablet, plaque', 'fountain, patio, terrace, dam, dike, dyke, dome, bannister, banister, balustrade, balusters, handrail', 'prison, prison house, vault', 'stupa, tope, church, church building', 'brass, memorial tablet, plaque, mailbox, letter box', 'suspension bridge, bannister, banister, balustrade, balusters, handrail, worm fence, snake fence, snake-rail fence, Virginia fence, valley, vale, picket fence, paling', 'pier, suspension bridge', 'cloak, mosquito net, window shade, lampshade, lamp shade, theater curtain, theatre curtain', 'pickelhaube, military uniform, gasmask, respirator, gas helmet, cloak, cuirass', 'worm fence, snake fence, snake-rail fence, Virginia fence, picket fence, paling', 'gown, overskirt, hoopskirt, crinoline, cloak, groom, bridegroom', 'maze, labyrinth, valley, vale, castle, spotlight, spot, suspension bridge', 'pole, traffic light, traffic signal, stoplight, pier', 'pedestal, plinth, footstall, obelisk', 'cloak, abaya, vestment, gown', 'barn, church, church building', 'picket fence, paling, mobile home, manufactured home, beacon, lighthouse, beacon light, pharos, church, church building, boathouse', 'beacon, lighthouse, beacon light, pharos, lakeside, lakeshore, sandbar, sand bar, promontory, headland, head, foreland, seashore, coast, seacoast, sea-coast', 'shower curtain, spotlight, spot, lampshade, lamp shade, fountain, groom, bridegroom']","{'church, church building': 145, 'spotlight, spot': 86, 'picket fence, paling, worm fence, snake fence, snake-rail fence, Virginia fence': 82, 'fountain': 51, 'barn': 42, 'picket fence, paling': 40, 'lakeside, lakeshore': 37, 'abaya, cloak': 33, 'church, church building, barn': 31, 'barn, church, church building': 31}",10992
objects_confidence,10992,"['0.9579096436500549, 0.023331966251134872', '0.24626432359218597, 0.21469081938266754, 0.07104882597923279, 0.06550969183444977, 0.054783858358860016', '0.3035092055797577, 0.13816800713539124, 0.08944983035326004, 0.07341767847537994, 0.06949031352996826', '0.8892980217933655, 0.018101204186677933', '0.7490359544754028, 0.18347129225730896', '0.8523898720741272, 0.01773463934659958', '0.319591760635376, 0.19829204678535461, 0.04552280157804489, 0.04379860311746597, 0.03017187863588333', '0.837352454662323, 0.06288749724626541', '0.3355634808540344, 0.0747288390994072, 0.064914770424366, 0.041709985584020615, 0.03947875276207924', '0.5982204675674438, 0.04122960567474365, 0.02506537362933159, 0.022785723209381104, 0.02088860794901848', '0.7757339477539062, 0.12787878513336182', '0.28527534008026123, 0.10570994019508362, 0.09648775309324265, 0.08728533983230591, 0.05019569769501686', '0.2682325839996338, 0.14934952557086945, 0.08292512595653534, 0.042441267520189285, 0.026525868102908134', '0.46676701307296753, 0.3893466293811798, 0.033701423555612564', '0.8120558857917786, 0.16766512393951416', '0.5587745308876038, 0.15904894471168518, 0.09205814450979233, 0.018424194306135178', '0.8667960166931152, 0.057107336819171906', '0.6691746711730957, 0.10386063903570175, 0.051287952810525894, 0.029678279533982277, 0.02634725160896778', '0.23268090188503265, 0.18940219283103943, 0.103104367852211, 0.09239162504673004, 0.05601532384753227', '0.3088549077510834, 0.09295938909053802, 0.059146370738744736, 0.05593458563089371, 0.022964276373386383']","{'0.6378534436225891, 0.06419001519680023, 0.024370253086090088, 0.023606305941939354, 0.021573076024651527': 1, '0.7644330263137817, 0.17142927646636963': 1, '0.4292220175266266, 0.058534957468509674, 0.022478614002466202, 0.020609965547919273, 0.018849017098546028': 1, '0.5714718699455261, 0.11930225044488907, 0.09418986737728119, 0.018845131620764732': 1, '0.629723846912384, 0.3207162618637085': 1, '0.7315004467964172, 0.08080259710550308, 0.05286198854446411, 0.025800125673413277': 1, '0.5207626223564148, 0.20467981696128845, 0.05920542776584625, 0.01867901347577572': 1, '0.6641232371330261, 0.07471952587366104, 0.041443366557359695': 1, '0.9143152236938477': 1, '0.12612943351268768, 0.09844652563333511, 0.09643799811601639, 0.07412469387054443, 0.05900980904698372': 1}",10992
image_generation,5498,"['../data/generated_images/haunted_place_0.png', '../data/generated_images/haunted_place_1.png', '../data/generated_images/haunted_place_2.png', '../data/generated_images/haunted_place_3.png', '../data/generated_images/haunted_place_4.png', '../data/generated_images/haunted_place_5.png', '../data/generated_images/haunted_place_6.png', '../data/generated_images/haunted_place_7.png', '../data/generated_images/haunted_place_8.png', '../data/generated_images/haunted_place_9.png', '../data/generated_images/haunted_place_10.png', '../data/generated_images/haunted_place_11.png', '../data/generated_images/haunted_place_12.png', '../data/generated_images/haunted_place_13.png', '../data/generated_images/haunted_place_14.png', '../data/generated_images/haunted_place_15.png', '../data/generated_images/haunted_place_16.png', '../data/generated_images/haunted_place_17.png', '../data/generated_images/haunted_place_18.png', '../data/generated_images/haunted_place_19.png']","{'../data/generated_images/haunted_place_5499.png': 1, '../data/generated_images/haunted_place_0.png': 1, '../data/generated_images/haunted_place_1.png': 1, '../data/generated_images/haunted_place_2.png': 1, '../data/generated_images/haunted_place_3.png': 1, '../data/generated_images/haunted_place_4.png': 1, '../data/generated_images/haunted_place_5.png': 1, '../data/generated_images/haunted_place_6.png': 1, '../data/generated_images/haunted_place_7.png': 1, '../data/generated_images/haunted_place_8.png': 1}",5498
image_caption,2009,"['a statue of a woman sitting on a bench .', 'a row of park benches sitting next to each other .', 'a city street at night with a red light .', 'a view of a street light and a clock tower .', 'a red fire hydrant in front of a building .', 'a woman standing next to a statue of a man .', 'a fire hydrant in the middle of a forest .', 'a red and white fire hydrant in the snow', 'a bathroom with a toilet and a sink', 'a group of people standing outside of a building .', 'a red and white fire hydrant sitting on the side of a road .', 'a building with a clock on top of it .', 'a church with a steeple and a clock tower .', 'a clock hanging from the ceiling in a room .', 'a tall building with a clock on it .', 'a clock tower in the middle of a park .', 'a white house with a white door and a red door .', 'a bathroom with a shower and a toilet .', 'a white toilet sitting on top of a grass covered field .', 'a clock tower in the middle of a city .']","{'a building with a clock on the side of it': 88, 'a building with a clock on the top of it .': 82, 'a bathroom with a toilet and a sink': 77, 'a living room filled with furniture and a fire place .': 73, 'a living room with a couch and a table': 72, 'a red brick building with a clock on it .': 61, 'a red fire hydrant sitting in the middle of a field .': 59, 'a red stop sign sitting on the side of a road .': 57, 'a building with a clock on the side of it .': 56, 'a large building with a clock tower on top .': 53}",5498
detected_objects,4349,"['cloak, abaya, hoopskirt, crinoline, overskirt, gown', 'parallel bars, bars, shovel, turnstile, bannister, banister, balustrade, balusters, handrail, church, church building', 'flagpole, flagstaff, spotlight, spot, safety pin, pole', 'digital clock, spotlight, spot, traffic light, traffic signal, stoplight, nematode, nematode worm, roundworm, monitor', 'church, church building, picket fence, paling, flagpole, flagstaff, window screen, library', 'vestment, cloak, abaya', 'valley, vale, worm fence, snake fence, snake-rail fence, Virginia fence, viaduct, mountain bike, all-terrain bike, off-roader, alp', 'snowplow, snowplough, alp, spotlight, spot, valley, vale, snowmobile', 'sliding door, wardrobe, closet, press, cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'web site, website, internet site, site, church, church building, book jacket, dust cover, dust jacket, dust wrapper', 'patio, terrace, cinema, movie theater, movie theatre, movie house, picture palace, mobile home, manufactured home, window screen, restaurant, eating house, eating place, eatery', 'palace, library', 'church, church building', 'theater curtain, theatre curtain, tobacco shop, tobacconist shop, tobacconist, cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM, cinema, movie theater, movie theatre, movie house, picture palace', 'dome, beacon, lighthouse, beacon light, pharos, monastery, mosque, church, church building', 'mobile home, manufactured home, boathouse, picket fence, paling, window screen, sliding door', 'picket fence, paling, restaurant, eating house, eating place, eatery, patio, terrace, flagpole, flagstaff, window screen', 'doormat, welcome mat, sliding door, medicine chest, medicine cabinet', 'ping-pong ball, toilet tissue, toilet paper, bathroom tissue, golf ball, balloon, spotlight, spot', 'fountain, church, church building, stove, window shade, spotlight, spot']","{'church, church building': 79, 'cinema, movie theater, movie theatre, movie house, picture palace': 78, 'prison, prison house': 47, 'church, church building, bell cote, bell cot': 32, 'picket fence, paling': 28, 'palace, castle': 26, 'restaurant, eating house, eating place, eatery': 25, 'library': 25, 'street sign': 24, 'palace': 22}",5498
parse_text,10981,"['Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer\'s shouts of rage followed by the victims\' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids.""', ""A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on."", 'If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.', ""In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not."", 'Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as \'P\'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply.', 'A mysterious lady in white has been spotted in this cemetery.', ""On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge..."", ""Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com"", 'People report hearing footsteps, and doors slamming where there are no doors, a small child\'s voice say ""Mama?""', 'Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.', 'there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.', 'Gamma Phi Beta House - Sisters that live in the ""pink"" room awoke one night to see a ghostly figure pacing back and forth between the closet door and the bedroom door. The sisters that stay in that room immediately started screaming, and the president came out of her room, opened the door and the ghost went past her. When she returned to her room everything that was hanging on the walls had fallen to the ground. Also, there are always strange things happening at the house. Things turn up missing or are moved. Strange noises can be heard throughout the night. Doors are always slamming, lights go dim, and many other strange things happen. The ""hauntings"" started shortly after the sisters of gamma phi beta remodeled the house...it\'s almost like it upset the ghost(s).', 'A few witnesses heard footsteps and saw heads in the windows before they were boarded up. next to the long lake chapel.', ""Story goes some time in the late 70s a student named Mary (last name never mentioned) who, while working on some lighting fixtures alone one day, fell from the catwalks head first and died upon the stage. Sightings include actors and stagehands seeing a girl up in the catwalks wearing a light pink dress. Also, in the prop room where all the senior thespians spray paint their names on the wall shortly after Mary's death her name appeared in bold red paint above the doorway about seventeen feet from the floor and upside down."", 'Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.', ""Before the building was turned into a Tribal Center, it used to be a Catholic Orphanage. People have sighted apparitions of little kids, nuns and priests, and have also had encounters with objects dropping or moving, and other various sounds through out the building. This entire piece of land still has a church that's active, and other inactive buildings that date back to the early 1800's."", 'The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.', ""Hotel now owned by Michigan State University.\xa0 Originally the Upjohn Family (of Upjohn Pharmaceauticals - since bought by Pharmacia and later Pfizer) summer residence.\xa0 Dr. Upjohn died in the Doctor's Cottage - a beautiful, upscale large cottage on the edge of the creek, surrounded by his japanese garden. Guests in staying in the cottage have told staff they hear footsteps and no one is there.\xa0 It's not uncommon for guests staying in the Doctor's Cottage to go to the front desk during the night to request to be moved to another room due to the strange noises and feelings of uneasiness. Hotel staff have said they hear the piano playing when alone in the Doctor's cottage, closing up after events- and yet they are the only people there. Guests staying in the carriage house have reported hearing piano music during the night - but the only piano currently on property is too far away to be heard there."", 'Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings"".', 'when people drive by sometimes they see a white ball run across the into a marble headstone.']","{'It is believed that Carroll High School is cursed and haunted. Every year a junior student dies surprisingly, and eventually the student comes back to haunt and be known. One example,(not mentioning the name), a girl who died, came back to be remembered. A day after her death, in class, a boy took her original seat and fell off. To everyone\'s surprise, they asked him if he was alright. He then replied, in a shocked look, ""No, not really."" The teacher asked why. He replied back ""I didn\'t fall, I was pushed.""': 2, 'October 2007 - Has been removed.': 2, 'Students have reported lights along the pathway near the Main House (administration building) turning off and on late at night as they walk by. For example, as a person approaches a light it goes out, then back on once the person has gone by it. An eerie feeling of being watched in this location has also been noted, as well as unexplained isolated mists in the surrounding wooded area.': 2, 'Apparitions seen.': 2, 'Ghost lights appear from time to time. A woman\'s voice saying ""Te papa"" near the Sacramento River. Sight was probably an Indian Burial Ground or Mine Shafts.': 2, 'You can here a woman screaming for her baby that killed by a train. Every time a train goes by you can see her by the side of the tracks.': 1, 'A man fell from this railroad bridge and was killed when this bridge was first built. A light can be seen from the bridge late at night. It looks like an old lantern light. Moans can be heard from the top of the bridge, but no one is there.': 1, 'If you go to the trestle in Saint Paul you will hear a crying sound. Then if you flash your lights at it 3 times you can see three friends who died there. The story goes that all these friends were walking across the trestle and they fell. It was around 3:00 in the morning when they fell.': 1, 'There are many stories that deal with murder about this bridge that lies out in the country in this small town. There have been sightings of a ""headless man"" walking around looking for his head that had once been severed. He had been a bum that feel out of a train and got ran over.': 1, 'Antioch Cemetery - Reparts of seeing a man dressed in a dark colored suit with flowers in his hands looking down at the grave on foggy nights around 1:30a.m. Witnesses also see shadows of people flashing past and over their vehicle accompanied by scratching & tapings heard.': 1}",10986
Geographic_LATITUDE,809,"[42.43595, -38.2, 18.35, 47.50438, 51.49889, 44.25029, 45.07808, 18.3419, 43.1752, 34.74648, 45.59549, 35.8546, 60.10867, 44.76238, 41.3981, 37.32228, 18.39662, 43.2614, 40.81944, 41.58333]","{47.50012: 17, 40.76078: 13, -42.0: 10, 16.83333: 10, 34.74648: 10, 29.52749: 9, 41.83691: 9, 40.25034: 8, 39.20145: 7, 38.0: 7}",1196
